	language	image_url	caption_reference_description	page_title	section_title
0	en	https://upload.wikimedia.org/wikipedia/commons/3/38/%C3%9Cbergang_%C3%BCber_das_Kurische_Haff_1679.jpg	Great Sleigh Drive (1678):Frederick William pursues Swedish troops across the frozen Curonian Lagoon; fresco by Wilhelm Simmler, ca. 1891	Brandenburg-Prussia	Dutch and Scanian Wars
1	en	http://upload.wikimedia.org/wikipedia/commons/3/3d/G9_crew.jpg	G9 crew: Stoker Drake at extreme right of picture standing-easy. A B Baby centre of back row of 5.	HMS G9	Loss
2	en	https://upload.wikimedia.org/wikipedia/commons/8/84/Huichol_indian.jpg	Huichol woman and child	Huichol art	The Huichol People
3	en	https://upload.wikimedia.org/wikipedia/commons/9/98/Merner-Pfeifferhall_Baldwin_Wallace_University.JPG	Merner-Pfeiffer Hall part of the Conservatory of Music, which hosts the yearly Bach Festival	Baldwin Wallace University	April Reign
4	en	https://upload.wikimedia.org/wikipedia/commons/e/ef/Lonesome_Luke_-_Motion_Picture_News%2C_March_3%2C_1917.jpg	"1917 advertisement featuring Lloyd as ""Lonesome Luke"", with Snub Pollard and Bebe Daniels"	Harold Lloyd	Silent shorts and features
5	en	https://upload.wikimedia.org/wikipedia/commons/c/c6/Root_rectangles_Hambidge_1920.png	Root Rectangles to Generate diagonals for Dynamic Symmetry	Jay Hambidge	Photography
6	en	https://upload.wikimedia.org/wikipedia/commons/f/f3/German_cargo_ship_MV_Vogelsberg_when_unloading_bags_and_general_cargo_in_the_port_of_Freetown_-_1958.png	MV Vogelsberg in the port of Freetown 1958	H. Vogemann	History
7	en	https://upload.wikimedia.org/wikipedia/commons/5/5a/BD_Korotoa_River.JPG	Karatoa River near Mahasthangarh	Bogra District	Formation of land
8	en	https://upload.wikimedia.org/wikipedia/commons/8/81/Wanderer_W24.jpg	Wanderer W 24 1937	Wanderer (company)	History
9	en	https://upload.wikimedia.org/wikipedia/commons/9/9d/Church_of_Scotland_Offices%2C_Edinburgh.JPG	Church of Scotland Offices, Edinburgh	Ernest Auldjo Jamieson	Life
10	en	https://upload.wikimedia.org/wikipedia/commons/3/33/Capillary_microcirculation.svg	Formation of interstitial fluid from blood.	Extracellular fluid	Interaction between the blood plasma, interstitial fluid and lymph
11	en	https://upload.wikimedia.org/wikipedia/commons/9/98/Venligheden_%28R%C3%B8nneb%C3%A6ksholm%29.jpg	Grundtvig's Pavilion	Rønnebæksholm	Grundtvig Pavilion
12	en	https://upload.wikimedia.org/wikipedia/commons/b/b8/Torino_panorama_Superga.jpg	Turin today	Turin	Geography
