	lang	prec	rec	f1
0	iw	0.6783907890009383	0.6515516752842814	0.6640593410314372
1	sv	0.6658638309312347	0.6546631492624346	0.6594662155881024
2	de	0.65874097495232	0.6429740289431403	0.650145573263554
3	ja	0.6625506342172265	0.6353626285625184	0.6478994005266158
4	nl	0.6624857901402239	0.6484401531296599	0.6547679897909858
5	vi	0.690682447118824	0.6664860304521054	0.6778540672899104
6	pl	0.6375882913380625	0.6301704631789063	0.6330722255096587
7	zh-TW	0.6687015335689219	0.6404822085716928	0.6536623034828393
8	en	0.8616038301512892	0.8255804117041522	0.8428665248782107
9	uk	0.6449979594089841	0.6301094189186224	0.6367395023371549
10	zh	0.5684098991588121	0.5376935868819313	0.5514928459575991
11	es	0.6893655501325612	0.672760472288282	0.6802765144294328
12	ca	0.6709396637343114	0.6544757997288423	0.6619003780527053
13	it	0.6736685159779093	0.6594856998472238	0.665876562072465
14	ru	0.6520656532416338	0.6372469882352636	0.6437791201577743
15	pt	0.6384806032916367	0.6398696984102664	0.6384590879102844
16	cs	0.6440576903590012	0.6336879958696129	0.6381785603048282
17	fr	0.6863312566547368	0.6710360585779384	0.6778093158649048
18	ar	0.6788746153607088	0.6599086741579215	0.6687346281822664
19	hu	0.6520046049939062	0.6361223398742819	0.6433059412733952
