	lang	prec	rec	f1
0	fr	0.6909591002123696	0.6756665304496691	0.6823188761612038
1	iw	0.698498500228392	0.6486508300486861	0.6714775253440001
2	zh	0.5951793967285972	0.5602952754064602	0.574758129090496
3	nl	0.6683383166944625	0.6568048766846787	0.6617000856752062
4	vi	0.695801211332346	0.6715717912494362	0.6827912080597568
5	it	0.6775865586119403	0.6584650673909564	0.6669010625507117
6	ca	0.6874529225485665	0.6632767762069578	0.6740540636824323
7	es	0.6902767122564922	0.6463972477752101	0.6664660779805189
8	zh-TW	0.6884873903052692	0.6604661659442167	0.6733089794608998
9	cs	0.6706144817463764	0.6337006273981812	0.6502054730793099
10	uk	0.6691988167050597	0.6545365367616925	0.6604576203730199
11	hu	0.6708437259321088	0.6473065453303325	0.6578287473746709
12	de	0.6731565589261581	0.6574988482681848	0.6642986488094899
13	ar	0.7045698811481526	0.645912069430599	0.6729014033621008
14	ja	0.7054835231696894	0.6366934843950853	0.6677834649416877
15	pl	0.6670647030442606	0.6393788863558095	0.6514454441852916
16	ru	0.674432976369734	0.6147365465179666	0.6416562431818479
17	pt	0.6875601258568572	0.6520951675147243	0.6683733086796277
18	sv	0.6733719499349284	0.6635933459268933	0.6674502355115423
19	en	0.8500265507729022	0.8222499291618149	0.8353540090771464
