	lang	prec	rec	f1
0	fr	0.6900437957280642	0.6751693307579337	0.6817765208033773
1	iw	0.6771631861629808	0.6500660332956203	0.6627066094433133
2	zh	0.5699132227866721	0.5426238696398902	0.5547013608630066
3	nl	0.6614034003861993	0.647870015811982	0.6539110382088736
4	vi	0.6909010764066275	0.6669872625307603	0.6782140538289949
5	it	0.6702772245564813	0.6550245845518842	0.6619489105604347
6	ca	0.6704855561256409	0.6528024263970263	0.6608648297848639
7	es	0.6916849589997228	0.6734522430349417	0.68173494158088
8	zh-TW	0.6670726110590971	0.6373613664412243	0.6513333714263324
9	cs	0.6421263405641953	0.6332079224385224	0.6369986880135227
10	uk	0.6445573351599954	0.6325733069475595	0.6378444382122584
11	hu	0.6536612528485137	0.6363367852839557	0.6442305104299025
12	de	0.6611394138496983	0.6426475685858077	0.651202370839051
13	ar	0.679784867438403	0.660656043229165	0.6695542146633198
14	ja	0.65956074300907	0.6323906822581854	0.644982951894963
15	pl	0.6379170624198617	0.6335051043874713	0.634938641435596
16	ru	0.6507707039644192	0.6374976118663689	0.6432203760394802
17	pt	0.6377316161352373	0.6395803986820265	0.6379148922232493
18	sv	0.6657122360438533	0.6548500185887947	0.6595233391231136
19	en	0.8607411211187189	0.8271258347994321	0.8432652139044428
