	lang	prec	rec	f1
0	fr	0.6946357007150527	0.6633302889086984	0.6773930772558435
1	iw	0.6863743746327056	0.6683409311814685	0.6762866308253099
2	zh	0.6061860153260707	0.5845436448407699	0.592288608294362
3	nl	0.6672463376079861	0.6670986448357851	0.6663201229813498
4	vi	0.6940202483109066	0.6811852537192308	0.6868785457951682
5	it	0.6816310354553153	0.6567508737168887	0.6679830442915939
6	ca	0.6844312566441375	0.6784318791968482	0.6803934605090649
7	es	0.69105345466876	0.6786388261231622	0.6838116942290048
8	zh-TW	0.679867924136274	0.6582635432720821	0.6680604028191796
9	cs	0.6677035310825744	0.6559092916451491	0.6607692876419464
10	uk	0.6714520259724035	0.6684437471163738	0.6685783785658997
11	hu	0.6601657018646018	0.6539672491999415	0.6559725680134513
12	de	0.6775446529518305	0.6679991426480265	0.6716098303770123
13	ar	0.6982105544635228	0.666995802328184	0.6809729310986283
14	ja	0.6763176505590381	0.6638201640196502	0.6684640448071768
15	pl	0.6553424045965366	0.6542526421302642	0.6537172199841758
16	ru	0.6813682336311836	0.6505425529046492	0.6640886935320768
17	pt	0.6878970557613595	0.6778620297884045	0.6820069920228149
18	sv	0.6705580852761498	0.6702350160413834	0.6693676532319857
19	en	0.8343315828156161	0.8249088111635926	0.8286487557671287
