	lang	bleu	precisions
0	iw	0.0030347853329351325	[0.09169213670464017, 0.018721299894030378, 0.004021447721179625, 0.0016304347826086956]
1	sv	0.007300121237123146	[0.1309015829318651, 0.011846153846153847, 0.0027816411682892906, 0.0009950248756218905]
2	de	0.0070442507587711685	[0.06825372909447039, 0.00815494393476045, 0.0028779739063699156, 0.0015371102327624067]
3	ja	0.0	[0.008964143426294821, 0.0, 0.0, 0.0]
4	nl	0.006190193196676391	[0.10058309037900874, 0.012096179377489306, 0.002147340601255368, 0.0005620082427875609]
5	vi	0.011716170754441394	[0.10719290051377861, 0.024141014178055947, 0.00829933886622591, 0.002182385035074045]
6	pl	0.006404097661985233	[0.09104081139821299, 0.018622524386639076, 0.005728607232366631, 0.0017406440382941688]
7	zh-TW	0.0	[0.010302197802197802, 0.0, 0.0, 0.0]
8	en	0.005889021570075565	[0.11795357650402653, 0.019544558006096467, 0.005298553087426126, 0.0007002801120448179]
9	uk	0.006866707808426923	[0.0733928246221089, 0.011172006745362563, 0.0029476787030213707, 0.0017261219792865361]
10	zh	0.0	[0.012435991221653255, 0.001594896331738437, 0.0, 0.0]
11	es	0.0029793026448060355	[0.16674710424710426, 0.028089887640449437, 0.006610995128740431, 0.0004083299305839118]
12	ca	0.010325332010008232	[0.13048245614035087, 0.021589343132751494, 0.005813953488372093, 0.001537574476263694]
13	it	0.008190918184484327	[0.09712081553933048, 0.01370706915139381, 0.0044781260764726145, 0.0011636927851047323]
14	ru	0.0	[0.07533926064576509, 0.013100436681222707, 0.0009699321047526673, 0.0]
15	pt	0.007654218671189684	[0.1385420182247722, 0.023026315789473683, 0.0067759562841530055, 0.001734390485629336]
16	cs	0.005004618124380606	[0.08107352530053118, 0.017793594306049824, 0.006530256856769699, 0.0016]
17	fr	0.015488001010311083	[0.1394876997210246, 0.020204854777606286, 0.00734604563926227, 0.004051435617403558]
18	ar	0.00127290290283539	[0.07818021201413428, 0.0182648401826484, 0.007835455435847209, 0.002617801047120419]
19	hu	0.010281051484413321	[0.08878958616669905, 0.012717536813922356, 0.0046559751681324365, 0.0021250758955676987]
