	lang	bleu	precisions
0	iw	0.010403007533387302	[0.10469193521456002, 0.024707910361999617, 0.00717649697241534, 0.0024122219244170464]
1	sv	0.010922453667584243	[0.1360759493670886, 0.02408275416195248, 0.006258052641266335, 0.001279317697228145]
2	de	0.009909144796154025	[0.08388716585437897, 0.014288087722212992, 0.004695717505634861, 0.0017130620985010706]
3	ja	0.0	[0.0067857142857142855, 0.0, 0.0, 0.0]
4	nl	0.00933113371627988	[0.10846172658351676, 0.01565240858183781, 0.0037593984962406013, 0.0011878499915153572]
5	vi	0.015531229315674577	[0.11308975539862859, 0.03010181496237273, 0.009755510056606046, 0.002375923970432946]
6	pl	0.011468972540905006	[0.09065755208333333, 0.019123653917564053, 0.006256742179072276, 0.002050756216354781]
7	zh-TW	0.0	[0.008153756552125802, 0.0010319917440660474, 0.0, 0.0]
8	en	0.007519110343965765	[0.11795749536442733, 0.019504396482813748, 0.005408328826392645, 0.0010264832683227264]
9	uk	0.010610870298477097	[0.09325287986834888, 0.02096569250317662, 0.005227781926811053, 0.0023710729104919974]
10	zh	0.0	[0.010021097046413503, 0.0017301038062283738, 0.0, 0.0]
11	es	0.017800793291137745	[0.18218460298266828, 0.038317617123185155, 0.010770784247728038, 0.0038328861632809506]
12	ca	0.014409157675723311	[0.14285714285714285, 0.028038585209003215, 0.007415858528237307, 0.0015989766549408379]
13	it	0.011878916394188156	[0.11164755582377792, 0.024394404640054587, 0.0071387227474435655, 0.0024070021881838076]
14	ru	0.004737644081908115	[0.10176641181123122, 0.01914191419141914, 0.0050933786078098476, 0.002177463255307567]
15	pt	0.020540107760601868	[0.14842445162008686, 0.030402529490453606, 0.011775725946741603, 0.004161093773220389]
16	cs	0.013551943079697119	[0.09210286339595113, 0.022900763358778626, 0.008579359071410548, 0.0036923076923076922]
17	fr	0.013151708819683883	[0.18089474821698726, 0.04834539813857291, 0.014787430683918669, 0.007358351729212656]
18	ar	0.004703872954590757	[0.08815097945532728, 0.02141823444283647, 0.00472212132219397, 0.001352569882777277]
19	hu	0.011040986917370191	[0.10706673225118872, 0.01895472948104527, 0.005029337803855826, 0.001455957291919437]
