	lang	avg_score
0	iw	0.0021433308247202935
1	sv	0.00678030125587338
2	de	0.0011967557099412567
3	ja	0.00627576428298403
4	nl	0.0004312872448240511
5	vi	0.0027942535412292502
6	pl	0.02737522161620645
7	zh-TW	0.0005823247939166338
8	en	0.0018844668399472454
9	uk	0.008674439035854234
10	zh	0.0012005340533830827
11	es	0.0014765720481875648
12	ca	0.007939457576092008
13	it	0.012425748741829612
14	ru	0.012659687609938164
15	pt	0.03487936885120436
16	cs	0.011288183052816156
17	fr	0.0005754083995243632
18	ar	0.00148231223025044
19	hu	0.0006468176290013788
