	lang	meteor
0	fr	0.08876078494601021
1	iw	0.06498518108835025
2	zh	0.0018010565088388867
3	nl	0.09219243399887699
4	vi	0.09873618545288146
5	it	0.07298791137919934
6	ca	0.11729860137514467
7	es	0.1300569320775089
8	zh-TW	0.0014515123389387077
9	cs	0.060600848475252
10	uk	0.07205512715828745
11	hu	0.08532473111689116
12	de	0.0707828969036942
13	ar	0.04336542117090294
14	ja	0.006328637133936101
15	pl	0.07029515992424952
16	ru	0.045903655859955435
17	pt	0.11090618017281766
18	sv	0.10537423130209737
19	en	0.08456872385713968
