	lang	rouge1	rouge2	rougeL	rougeLsum
0	iw	0.005208333333333333	0.0	0.005208333333333333	0.005239335317460317
1	sv	0.09862610601675842	0.02157860934392504	0.09110658896101823	0.09115850182194289
2	de	0.06845964860821943	0.013826171269218982	0.0652121998693407	0.06485775810181968
3	ja	0.013280212483399736	0.0013280212483399733	0.0131916777335104	0.013413014608233732
4	nl	0.09922503751620487	0.01649768685257768	0.09108213751700504	0.09115118215568416
5	vi	0.29605958687542655	0.07745652564074643	0.22112206237579607	0.22089118144215225
6	pl	0.08807639962372842	0.03223267643559565	0.08595104453386504	0.08577280149712015
7	zh-TW	0.020424836601307186	0.0027692895339954168	0.02032085561497326	0.019994058229352345
8	en	0.10456326412431201	0.022880675554687348	0.09717319373720283	0.09775702963626656
9	uk	0.03629706327867393	0.011448351195575388	0.03644413705711528	0.03564179348368737
10	zh	0.018666881166881165	0.0036486486486486482	0.018697447447447446	0.018677069927069925
11	es	0.10415903889871062	0.028907263234245688	0.09739529036213054	0.09733356297122633
12	ca	0.12707453828958748	0.034111698544878874	0.11482984352500036	0.11456789389264072
13	it	0.10072533819734061	0.022092096630009793	0.09604016846862184	0.09579939914539602
14	ru	0.0045871559633027525	0.0	0.004576234163390126	0.004576234163390126
15	pt	0.11025745368920578	0.030346283589613155	0.10189370994077068	0.10226635576047292
16	cs	0.07356467569169062	0.022965880913162547	0.0718616777270767	0.07182524871794214
17	fr	0.11577002718603206	0.03281615814872346	0.10612607549967949	0.10569736141586189
18	ar	0.0037619699042407656	0.0009119927040583675	0.0037619699042407656	0.0037619699042407656
19	hu	0.12076450180929263	0.03705214104078261	0.11282217401537598	0.11297833213018027
