	lang	rouge1	rouge2	rougeL	rougeLsum
0	fr	0.08551521921089741	0.010795050136926564	0.0779630773657368	0.07788476887196857
1	iw	0.0038910505836575876	0.0	0.003631647211413748	0.0038910505836575876
2	zh	0.0	0.0	0.0	0.0
3	nl	0.06291676924768558	0.00630736542804021	0.0597360782861288	0.05969101260576505
4	vi	0.295978897150861	0.061447071567191446	0.21701025061218837	0.21705343573448338
5	it	0.016715811623168358	0.0002401883076331844	0.016398957333336666	0.016376068400400116
6	ca	0.08480742862783652	0.010010449050510701	0.07732173367747552	0.0775046697942377
7	es	0.12359994379713968	0.017011231515934422	0.10989876161187648	0.10977294885717509
8	zh-TW	0.0	0.0	0.0	0.0
9	cs	0.050108707988570485	0.0036684077989463776	0.046132922436885826	0.04604666494019627
10	uk	0.004081632653061224	0.0005194805194805195	0.004155844155844156	0.004168212739641311
11	hu	0.07894004905244634	0.009309803697836499	0.07083729961723718	0.071003150531849
12	de	0.03854558051988112	0.002085495502651514	0.035379553744454735	0.03545887670095955
13	ar	0.0	0.0	0.0	0.0
14	ja	0.0	0.0	0.0	0.0
15	pl	0.057478202096972596	0.006913880963900302	0.055661020802430516	0.05577704300606511
16	ru	0.0	0.0	0.0	0.0
17	pt	0.025608324405082525	5.89553118735998e-05	0.0247687399919048	0.024951232476994267
18	sv	0.06953834631967	0.006430446883842878	0.06494569113308717	0.06506616968440798
19	en	0.09086483978559362	0.009766450568800706	0.08545301792857524	0.08550228851600628
