	lang	rouge1	rouge2	rougeL	rougeLsum
0	iw	0.005208333333333333	0.0	0.005146329365079364	0.005084325396825396
1	sv	0.09843734661027065	0.021440718882788083	0.09137341498353731	0.09134776269286879
2	de	0.0683782037556622	0.014064612309460246	0.06474171037935031	0.06491521901494769
3	ja	0.013590084108012396	0.0013280212483399733	0.013390880920761399	0.013191677733510402
4	nl	0.09941589078788193	0.016434172844518966	0.09107035106415534	0.09138776077297808
5	vi	0.2960496006704909	0.0775165753777815	0.22106670317982263	0.22133154084251627
6	pl	0.08822454357347871	0.03195987452566508	0.08593536635158805	0.08611054569024724
7	zh-TW	0.01988265002970885	0.0027692895339954168	0.01978609625668449	0.0201574569221628
8	en	0.10444889657644343	0.0231061320011265	0.0973230092516442	0.0974586999872657
9	uk	0.03610583698302996	0.011614809405974065	0.03635670442899358	0.036297078138126534
10	zh	0.018798798798798796	0.0037837837837837837	0.018428785928785926	0.018778421278421276
11	es	0.1042887639105885	0.029191139319173023	0.09702739682731373	0.09727834538541166
12	ca	0.12720241077921085	0.03439421356443194	0.11465029668781285	0.11439351715427364
13	it	0.10059818135851065	0.022026778534288423	0.09575450272647612	0.09587100194884371
14	ru	0.00464176496286588	0.0	0.004565312363477501	0.004576234163390126
15	pt	0.11045863014164103	0.030360345543365738	0.10187338763357193	0.10188968701965237
16	cs	0.07448977421069994	0.023075626405151994	0.07250716877279136	0.07192248423407302
17	fr	0.1162826211632203	0.0325744498027713	0.10607239937348786	0.10573159478783042
18	ar	0.0037619699042407656	0.0009119927040583675	0.0037619699042407656	0.00364797081623347
19	hu	0.1204908444568355	0.036661877825466316	0.11267439917206831	0.1127139620404724
